,DOG_ID,VIDEO_ID,x_top_left,y_top_left,width,height
0,0062cada-a402-41bb-980e-6ae5e0672440,3f13a35c-be97-4331-b1f9-503bf4628e00,3,259,459,503
1,0062cada-a402-41bb-980e-6ae5e0672440,4f82f8da-1e3f-46f8-b48a-3a161d52cdf0,1,144,477,577
2,0062cada-a402-41bb-980e-6ae5e0672440,6efb5b41-a90d-4833-b72a-3840bb0e9298,0,439,427,459
3,0062cada-a402-41bb-980e-6ae5e0672440,ac31fe97-5ef0-414e-8911-8f1da9f5e0a9,0,669,656,838
4,0062cada-a402-41bb-980e-6ae5e0672440,cd41e597-1c25-4120-a4dc-01fd7daabae1,459,198,389,336
5,006e92b4-8c6a-4fb2-a870-d172b70546a5,666b589d-ead2-4f01-ab24-6ffe44c7b99f,109,531,773,813
6,006e92b4-8c6a-4fb2-a870-d172b70546a5,88aa360b-9a70-47f2-90cf-521b24d96699,64,86,296,296
7,006e92b4-8c6a-4fb2-a870-d172b70546a5,be8d0b48-4b69-4e1c-a707-566e7659b5c1,464,918,405,573
8,006e92b4-8c6a-4fb2-a870-d172b70546a5,fc0b0b71-4789-48fe-8cb0-5e3d59dd6032,171,114,60,93
9,017f8cd0-b7e9-4d85-bf16-9c61deab63f6,63fa0992-e906-4d01-91a0-98285a7cb2e7,650,259,382,369
10,019aa747-9061-41a1-bc4a-7dbf0755416d,3811f3e9-def7-42e9-8c87-9c2e501ad4c7,247,723,552,552
11,019aa747-9061-41a1-bc4a-7dbf0755416d,85256d95-6327-48cd-837d-c59cb0a8cccc,392,22,688,1194
12,019aa747-9061-41a1-bc4a-7dbf0755416d,e2282188-88da-4c26-b838-0b6de2342051,108,99,954,981
13,019aa747-9061-41a1-bc4a-7dbf0755416d,f5e482db-cc69-44f8-aef7-e3e4628d7b55,602,878,423,586
14,01afd32f-cf58-4a55-baba-7086dc33f1b6,a50dd318-9384-4317-b274-b072140a8cf7,105,74,416,797
15,01afd32f-cf58-4a55-baba-7086dc33f1b6,b76a4209-097b-4f46-a11d-dbbe6c905658,98,222,409,700
16,01afd32f-cf58-4a55-baba-7086dc33f1b6,de312d71-2d0b-4a18-8166-aa25e9075ecd,197,333,265,673
17,01afd32f-cf58-4a55-baba-7086dc33f1b6,f9e08a41-80d3-43ea-bc24-2aebeaabb854,16,168,515,980
18,01afd32f-cf58-4a55-baba-7086dc33f1b6,fdb488a3-7779-4951-8012-3cc3f6da9dd3,192,559,125,154
19,01e223be-039f-4c3a-acef-1b1e92245aba,4ab77bb5-8e77-4390-8ae9-2135b08b43db,16,107,620,236
20,01e223be-039f-4c3a-acef-1b1e92245aba,566fac88-f7bd-4ced-a1cc-5828c0e10920,490,544,198,390
21,020fc676-ebe5-40b8-a235-8d1db5d89a0f,0ec84d51-5ed6-4220-bed4-4fa79b4ca06c,4,13,1071,1277
22,020fc676-ebe5-40b8-a235-8d1db5d89a0f,4a539d6c-4166-4aa9-895e-3c3a6069811c,1,83,999,1853
23,020fc676-ebe5-40b8-a235-8d1db5d89a0f,a088f89d-ae9a-45dc-b5bb-78bdc48aadca,5,23,1241,962
24,020fc676-ebe5-40b8-a235-8d1db5d89a0f,e0f5f5a1-b12a-445d-b0d9-e3573004a32a,15,371,710,864
25,023baa67-1e07-424e-8400-3e7b1c3bf24b,3c81f8b9-0910-414c-a443-58a861da3b3f,171,675,904,1255
26,023baa67-1e07-424e-8400-3e7b1c3bf24b,7081f071-3e00-45a6-907f-9b18179e5054,509,252,281,464
27,023baa67-1e07-424e-8400-3e7b1c3bf24b,ce89b2f7-f25c-48bd-967a-9911da03d549,94,355,665,669
28,023baa67-1e07-424e-8400-3e7b1c3bf24b,e6e61079-08f4-4dbd-a381-3195be58be75,2,19,1263,1907
29,023baa67-1e07-424e-8400-3e7b1c3bf24b,f5ef67f8-b40d-4b03-9fe8-ee2fae051f1d,128,813,947,710
30,02783867-d280-4ebd-bd52-cf97fe7b50e9,0a1bc6b9-803e-4dc3-b341-a9222fd2ae77,194,768,742,803
31,02783867-d280-4ebd-bd52-cf97fe7b50e9,638b86b7-e9f8-4bc8-8d95-a745e1108592,445,168,251,247
32,02783867-d280-4ebd-bd52-cf97fe7b50e9,6b0b50e2-c83b-4a7a-b4d1-636a8e5b98e9,5,701,966,909
33,02783867-d280-4ebd-bd52-cf97fe7b50e9,ff4e323c-dfbe-404d-b6fc-7a7e80b33bb7,707,250,133,428
34,028b0e0f-5418-439e-8147-11c621146a82,6aee4442-54df-42ca-9c13-6ddcf76fd42e,4,224,712,1077
35,028b0e0f-5418-439e-8147-11c621146a82,dc98d188-d9dd-4634-9f76-e3a81b148653,16,973,2139,2912
36,028b0e0f-5418-439e-8147-11c621146a82,e710e587-4768-441c-aace-0546df8c47c5,1,34,715,1265
37,028b0e0f-5418-439e-8147-11c621146a82,f7a27837-4261-4c01-b85d-d2bb6bc792a3,51,749,2082,2873
38,02ad7461-dffb-476e-a812-4f894be8920b,28f1ee74-9499-4644-bf81-ffafa5db12d9,749,148,614,950
